site,sw_begin,sw_end,sw_mid
Anchor,152,236,194
Beaver,205,258,231
Chuitna,205,250,227
Deception,196,236,216
Deep,182,250,216
EF Chulitna,188,243,215
Fish,213,267,240
Deshka,196,243,219
Little Willow,196,243,219
Montana,196,243,219
Moose (Su),182,258,220
NF Campbell,182,243,212
Ninilchik,196,243,219
Rabbit,182,243,212
Resurrection,196,243,219
Russian,213,250,231
Ship,182,243,212
Stariski,182,236,209
Wasilla,213,273,243
Willow,196,227,211
