"","site.year","MxDAT","MnDAT","MxDMT","MnDMT","MnDNT","NDNT","MxWMT","MxWAT","CDD","WAT5","WAT25","WAT50","WAT75","WAT95","MA7d_DMT","MA7d_DAT","DELTA_MAX","SIGMA_MN","SIGMA_MIN","SIGMA_MAX","CV_MN","CV_MIN","CV_MAX","RNG","SUM_13","SUM_18","SUM_20","SUM7d_13","SUM7d_18","SUM_event13","SUM_event18","SUM_MA7d_13","SUM_MA7d_18","SUM_MA7d_20","DUR_mx13","DUR_mn13","DUR_mx18","DUR_mn18","DUR_mx20","DUR_mn20","MxDMT_jd","MA7d_DMT_jd","WDMT_jd","D_RNG","site","year"
"1","Anchor_2004",18.584375,14.6553188521951,9.30797839905936,6.99071208357682,1.95499858219084,0.840777713377062,7.7982155736109,16.9029017871429,1201.73614588,11.6536160707143,13.7539211321429,15.44919643,16.1149702385714,16.8593452392857,7.7982155736109,18.06671131,7.37230125142102,4.29929214391601,0.182394872266206,0.954315320616003,0.141482656908526,0.218453931745089,0.13974122054328,8.4672006856823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.03571350138598,"Anchor","2004"
"2","Anchor_2005",17.48416667,14.259419118,9.49766158983416,6.98005316591425,1.98816329974011,0.845043343607089,7.60477828284591,16.4057738085714,1212.05062503,12.5517485128571,13.5442038692857,14.1462053571429,15.4828348228571,16.2639062492857,7.63701182912217,16.9772023814286,7.57037362958644,2.79087122493778,0.178053810286523,1.02349868599509,0.117156952119281,0.212238214404402,0.144938884372758,8.65261824622707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.99188986617414,"Anchor","2005"
"3","Anchor_2006",14.97364583,11.7996384803882,9.64916688109488,7.10903778085584,1.97523320426815,0.803951439654768,7.45461920195021,14.0890327385714,1002.969270833,9.8776413685,10.7379315483571,12.3822619042857,13.2285416671429,13.826636905,7.66905779473022,14.0890327385714,8.64352881898358,2.87411251326159,0.344888107495591,0.990537965433667,0.143675653524288,0.297317677733047,0.139998937813142,8.84521544144011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.1338045765877,"Anchor","2006"
"4","Anchor_2007",16.438125,12.4025477935882,8.89565477419858,6.95318790256919,2.08973558225373,0.868297638133057,7.59358821139453,14.0233630957143,1054.216562455,10.1162532244262,11.9177752960714,12.6557514871429,13.7308072907143,13.9877031252143,7.59358821139453,14.9292559528571,6.85652283447706,4.1715874425688,0.23536340887652,1.01127851426814,0.164679585973688,0.23215504999746,0.144627681526122,8.02735713606552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.86345232031546,"Anchor","2007"
"5","Anchor_2009",16.61383333,11.9774194854471,10.8102766807107,6.91754040000653,1.98461611136557,0.426477076039656,7.27953655325542,15.7679806542857,1018.080656263,8.63011809240357,11.5781242567857,12.0056956842857,12.21955134,15.3590491069286,7.62479901111873,15.85954613,8.96858133113617,4.48535666462252,0.305102654008628,1.39769235352898,0.176821565486125,0.278321322924799,0.170904733108243,10.383799604671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.93292428864096,"Anchor","2009"
"6","Anchor_2011",15.39640625,11.8889602938706,9.02484204541817,6.99553137881835,2.04520510844618,0.916568429177052,7.76140290803786,14.0775803571429,1010.561624979,9.55220907664286,11.8921346735714,12.3432306528571,12.9400215764286,13.7550290178571,7.80328632144607,14.1931309528571,7.79014601311663,2.96703740212754,0.232983407324631,0.936187462669983,0.144883067998122,0.236007403763444,0.13831226755967,8.10827361624112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.95032627037216,"Anchor","2011"
"7","Anchor_2012",15.10204167,11.0626687745357,9.67574079585182,6.81290407337468,1.99285975898505,1.00213935412058,7.40904901317819,13.3844613085714,929.264177061,8.74871056535714,10.4615721728571,11.2740104175714,12.2040870523571,12.9498251485714,7.51602833318363,13.47922619,7.65610438751467,3.3747543193947,0.258123857496685,1.18908004845972,0.166058523265889,0.254939620890227,0.160056483857392,8.67360144173124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.82004431438963,"Anchor","2012"
"8","Anchor_2013",16.99951042,12.4834189953059,9.02134699449252,6.95666269556431,2.00160835763201,0.717799447248257,7.54244562583265,15.9502872028571,1061.090614601,9.16708169545,11.4680472464286,12.3339516385714,13.6007946421429,15.8903985875714,7.60890331671948,16.3813750014286,7.35029204879354,7.20385570652645,0.271334489993156,1.28579710364319,0.21500519579919,0.260239607357535,0.162999125778604,8.30354754724426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.9550543379323,"Anchor","2013"
"9","Anchor_2014",15.90846875,12.5765346814941,10.0557423688819,6.97029872334924,2.00034807010106,0.887447491430031,7.4735268113273,14.7558139871429,1069.005447927,10.1566080353357,11.0172332588571,12.7992708342857,13.9087131685714,14.549880729,7.87961523069679,15.1616264885714,8.07594283369536,3.46390257024189,0.242628670274712,1.28324649258369,0.147986412207779,0.246243903746962,0.162518816887643,9.16829487745183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.96995065324819,"Anchor","2014"
"10","Beaver_2008",14.1378125,11.6635130205,8.77249285346043,7.04990904087952,1.97672383781119,0.497985199116783,7.32906148022193,12.6362648814286,466.54052082,11.3382142845714,11.38875,11.6936755942857,11.9668898814286,12.5023898814286,7.61442756436276,13.0554910728571,7.28867730524681,0.767039268838876,0.244082686496391,0.877633203252675,0.0750895359931576,0.249932358698173,0.132884096839547,8.27450765434365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.07318520306833,"Beaver","2008"
"11","Beaver_2009",12.68072917,11.5954727567436,9.32133393302204,7.26171619722715,2.00229984907834,1.02030732874832,7.78159855108875,12.0953125014286,452.223437513,10.8633839280571,11.5275744042857,11.74154762,11.9925595242857,12.074761906,7.83950929892919,12.1885565485714,7.81941367815438,0.425220587681614,0.174881640315157,1.04888128857951,0.0562365515647245,0.208854094780039,0.141034023917352,8.30102660427372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.25941634814881,"Beaver","2009"
"12","Beaver_2010",13.71708333,11.7411805552051,9.02705600379976,6.89668735494894,1.89419502709644,0.706189853152244,7.48532316974914,13.08455357,457.906041653,11.2294851205714,11.2996875,11.9734077371429,11.9874255942857,12.8651279748571,7.48532316974914,13.08455357,7.01898812130556,0.888631926322228,0.310843771459165,0.939611213971392,0.0802877319124432,0.294338039400275,0.140550876061737,8.32086615064751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.0024923278525,"Beaver","2010"
