F1,site.year,MxDAT,MnDAT,MxDMT,MnDMT,MnDNT,NDNT,MxWMT,MxWAT,CDD,WAT5,WAT25,WAT50,WAT75,WAT95,MA7d_DMT,MA7d_DAT,DELTA_MAX,SIGMA_MN,SIGMA_MIN,SIGMA_MAX,CV_MN,CV_MIN,CV_MAX,RNG,SUM_13,SUM_18,SUM_20,SUM7d_13,SUM7d_18,SUM_event13,SUM_event18,SUM_MA7d_13,SUM_MA7d_18,SUM_MA7d_20,DUR_mx13,DUR_mn13,DUR_mx18,DUR_mn18,DUR_mx20,DUR_mn20,MxDMT_jd,MA7d_DMT_jd,WDMT_jd,D_RNG,site,year,Intercept,Slope,sw_begin,sw_end
73,NF Campbell_2014,14.54932292,12.3189719424677,9.2737436373971,6.98438421152963,2.03775573219749,0.87637582002438,7.48170348649578,13.0552276771429,763.776260433,11.2171508939214,11.893476935,12.4028497028571,12.7930431546429,13.0509271571429,7.67604614748629,13.3382574414286,7.26310602774154,1.09657298865876,0.23685324612422,1.03855223434137,0.0850049675442,0.23882926776484,0.14591033355759,8.39736781737271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.94662847933215,NF Campbell,2014,18.6255657501599,-0.02967808850678,182,243
74,NF Campbell_2015,15.88386458,13.4662763778548,9.73697025232025,6.76808065078202,2.01380262015474,1.06618274655272,7.35611091211275,15.7031413671429,834.909135427,11.4263013400786,13.3027630214286,13.8800364585714,14.4329888389286,15.3251028261429,7.50716616874989,15.7031413671429,7.9234310394515,2.99182187293848,0.24123066381909,1.1627325417727,0.12844592862814,0.2438930104598,0.15932150066656,8.67078750576752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.75427803062727,NF Campbell,2015,24.2283302881747,-0.05064495957797,182,243
75,Ninilchik_2002,15.75,12.758125,8.8818708752534,6.98218689897865,1.98914145413544,0.7655404287974,7.15087137536406,14.42,612.39,10.9135714285714,11.9935714285714,12.6657142857143,13.9566666666667,14.336,7.44116636643389,14.9942857142857,7.37410114617155,2.27526236702128,0.22213989746088,0.71820269026159,0.11823032649492,0.23694503632565,0.12137578283233,8.116330446456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.99304544484321,Ninilchik,2002,28.4294290056449,-0.07139546244029,196,243
76,Ninilchik_2003,17.86,13.5554166666667,9.48570963398239,7.18393057500689,1.97318033649421,0.61313929746218,7.46592495836988,15.2071428571429,650.66,11.1192857142857,11.9232142857143,13.765,14.6146428571429,15.1221428571429,7.73989061993539,15.8957142857143,8.13029487348884,4.07765514184397,0.34884678458783,0.81464022072024,0.14896779014776,0.29933023267508,0.12563793727266,8.87257033652021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.21075023851268,Ninilchik,2003,38.8489077652338,-0.11523230568823,196,243
77,Ninilchik_2004,16.08489583,14.1833940970833,9.27157551831141,7.21694879091636,2.01849946364508,1.03678022928177,7.96575538562675,15.2336755957143,680.80291666,12.8519419635714,13.4995721725,14.4191071421429,15.0175930060714,15.1808072921429,7.96575538562675,15.4034375,8.23479528902964,1.52150339710845,0.2143482402613,0.85518011271544,0.08696736123256,0.2293672052292,0.12813718316566,8.23479528902964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.19844932727127,Ninilchik,2004,17.0597820085266,-0.01310427294507,196,243
78,Ninilchik_2005,15.89,13.5339583333333,9.36574305722984,7.11990943066011,2.01067490296042,1.08002222702597,7.82871961792153,15.12,649.63,12.2939285714286,12.9653571428571,13.3921428571429,14.5689285714286,15.0510714285714,8.14573986881746,15.12,7.65294273516566,1.85544144503546,0.23596369651643,1.37634422569021,0.10064652657923,0.24159099272499,0.16477414370535,8.28572083020386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.10923452769969,Ninilchik,2005,28.2073617744971,-0.06684921841076,196,243
79,Ninilchik_2006,14.23739583,11.409691839625,8.64430851265484,6.87959977346709,1.8333300260341,0.98140684235319,7.11066171191667,12.5301041671429,547.665208302,10.1016629463571,11.1910974696429,11.89127232,12.2622507428571,12.4902678571429,7.55281201425773,13.07955357,6.85606033108212,2.04732944532515,0.29511754897261,0.98038049380528,0.12540647235436,0.2963172034868,0.1439243104261,7.66290167030164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.04626974743299,Ninilchik,2006,27.109829736242,-0.07152682413037,196,243
80,Ninilchik_2007,15.84177083,12.4400173616667,9.05035286816909,6.92299615994933,2.00872242960567,0.93760482862801,7.51196850462435,13.39044643,597.12083336,10.963677084,11.4401934519048,13.1600446428571,13.2862202392857,13.3881651798571,7.55758479417458,14.2808035728571,7.80865597193938,2.38376713959875,0.30830099879815,0.88808882254704,0.12411118661432,0.2764187742958,0.1361238147529,8.11274803954107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.91427373034366,Ninilchik,2007,21.3098623653933,-0.04040931664567,196,243
81,Ninilchik_2008,13.66,11.1254166666667,8.50801988356121,6.82888369161223,2.03248442287329,0.90248047399045,7.36373358061122,12.13,534.02,10.492,10.565,10.9028571428571,11.6311904761905,12.1017142857143,7.42355272102122,12.5614285714286,7.60553940957075,1.17792322695035,0.27051138791808,0.84601737619373,0.09755335448487,0.25589720978248,0.13469141814531,7.60553940957075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.79639926873894,Ninilchik,2008,15.0469657331018,-0.01786582718193,196,243
82,Ninilchik_2009,15.08173958,11.7016766490625,9.37295308943167,7.02666673897106,1.93018745056611,0.9819987417389,7.52423817638301,12.0783720257143,561.680479155,10.5011711306071,11.1404014132857,11.778706845,11.8362924092857,12.0205610128571,7.68101569978692,13.4734360114286,7.77902374144917,1.6346979478374,0.20578652323553,1.3479837822053,0.10926238234067,0.23502224867856,0.16523155015061,8.39095434769276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.09647928840495,Ninilchik,2009,22.2110659193661,-0.0478787666073,196,243
